model,evaluation_status,random_PR_AUC,temporal_mean_PR_AUC,delta_PR_AUC,random_ROC_AUC,temporal_mean_ROC_AUC,delta_ROC_AUC,random_Brier,temporal_mean_Brier,delta_Brier
Logistic Regression,DIAGNOSTIC ONLY — NOT PRIMARY EVALUATION,0.37993495316633374,0.30107312184272345,0.0788618313236103,0.8107217671289166,0.713230176594745,0.09749159053417167,0.18407414381509948,0.20009247611774078,-0.016018332302641297
Random Forest,DIAGNOSTIC ONLY — NOT PRIMARY EVALUATION,0.47802202657810866,0.32380530262408647,0.1542167239540222,0.8453273568342474,0.731614442406858,0.1137129144273894,0.16722315904245563,0.16048576458289027,0.006737394459565366
XGBoost,DIAGNOSTIC ONLY — NOT PRIMARY EVALUATION,0.5590533635321178,0.29171412479182557,0.2673392387402922,0.8779005046370291,0.7127782665350908,0.16512223810193827,0.1059834122657776,0.139499731361866,-0.033516319096088404
LightGBM,DIAGNOSTIC ONLY — NOT PRIMARY EVALUATION,0.5975466911943383,0.29921132039280807,0.2983353708015303,0.8882713673045902,0.7276582369654844,0.16061313033910585,0.10196558393503682,0.1430083011209458,-0.04104271718590899
CatBoost,DIAGNOSTIC ONLY — NOT PRIMARY EVALUATION,0.5608423433116179,0.31637773941409597,0.2444646038975219,0.875162394110429,0.7401022916141752,0.13506010249625378,0.1345958423695029,0.1417479796993691,-0.007152137329866193
