metric,development_mean,development_std,locked_registry_value,delta_registry_minus_dev
CatBoost PR-AUC,0.3163777394140959,0.1556572373648735,0.27087135475802554,-0.045506384656070376
CatBoost ROC-AUC,0.7401022916141752,0.0709,0.7476925196308031,0.007590228016627898
CatBoost Brier Score (Platt),0.1357,0.0556,0.05265424015801349,-0.0830457598419865
CatBoost F1 Score (tau=0.1000),0.3786,,0.3358208955223881,-0.04277910447761191
Conditional Median MAE,15.619226249870556,6.430131218000415,9.049180327868852,-6.570045922001704
CQR 90% Empirical Coverage,0.8575765119454439,0.1523850163402834,0.9180327868852459,0.06045627493980199
CQR 90% Mean Width (Days),110.32577361734717,108.52686785002774,46.27482207027846,-64.0509515470687
