model,mean_PR_AUC,std_PR_AUC,min_PR_AUC,max_PR_AUC,mean_ROC_AUC,mean_Brier,mean_F1,mean_precision,mean_recall,mean_balanced_accuracy,number_of_folds
Logistic Regression,0.30107312184272345,0.15293755199371564,0.09458703244359527,0.4913469475315288,0.713230176594745,0.20009247611774078,0.2870447661465209,0.302183615694254,0.4096148668434635,0.6037662847411285,5
Random Forest,0.32380530262408647,0.17862110011846824,0.0776948690905501,0.5147822438250582,0.731614442406858,0.16048576458289027,0.0,0.0,0.0,0.5,5
XGBoost,0.29171412479182557,0.13562975895344548,0.09443371610411977,0.45617508242700744,0.7127782665350908,0.139499731361866,0.038072470429108295,0.3948717948717949,0.020861010128441725,0.5061985679126355,5
LightGBM,0.29921132039280807,0.12743818736840481,0.12848475618907307,0.4278378964016172,0.7276582369654844,0.1430083011209458,0.16210758847992768,0.46424242424242423,0.13098216875798516,0.5412605092985902,5
CatBoost,0.31637773941409597,0.15565723736487358,0.10773255949878471,0.5216343187958411,0.7401022916141752,0.1417479796993691,0.17646197881218623,0.31183328866255694,0.1446741431560496,0.5470823239186833,5
