model,mae_mean,mae_std,median_ae_mean,median_ae_std,pinball_q05_mean,pinball_q50_mean,pinball_q95_mean
Conditional Median Baseline,15.619226249870556,6.430131218000415,7.6,0.8944271909999157,0.968563678745497,7.809613124935278,5.634104153422336
LightGBM Quantiles,16.96493710609754,4.658276878006329,8.736455208889755,1.6410612673810419,1.3333651175429335,8.48246855304877,5.559119971090794
Ridge Regression,23.75619897684842,3.9232805784172977,15.005634546563593,0.5440460596848148,,11.87809948842421,
