model,calibration_method,brier_score,ece_10bins,pr_auc,roc_auc
CatBoost,Raw,0.06373963196105793,0.0659276789585956,0.27087135475802554,0.7476925196308031
CatBoost,Platt / Sigmoid,0.05265424015801349,0.05678361162040709,0.27087135475802554,0.7476925196308031
CatBoost,Isotonic,0.05474204072754527,0.03107935791959804,0.23419990429528514,0.7477441796390687
Random Forest,Raw,0.08959838080496584,0.1780288518357037,0.31954208352939173,0.7897782063645131
Random Forest,Platt / Sigmoid,0.04926478923147251,0.03140183450352979,0.31954208352939173,0.7897782063645131
Random Forest,Isotonic,0.04766965075110744,0.01958898447725001,0.2799625743262031,0.7896404463424714
