fold_id,validation_window,train_size,val_size,val_delay_prevalence,raw_PR_AUC,raw_ROC_AUC,raw_Brier,calibrated_Brier,calibrated_ECE
0,2012-03-07 to 2012-09-03,3747,598,0.06521739130434782,0.1077325594987847,0.6518508325306177,0.0953288710611907,0.0605276108883839,0.0214841417231604
1,2012-09-03 to 2013-03-02,4302,618,0.16019417475728157,0.2468022376173907,0.6916759113290905,0.1388666191418487,0.1360628112246591,0.0916220329175526
2,2013-03-02 to 2013-08-29,4942,738,0.26422764227642276,0.5216343187958411,0.7987816971242385,0.197656532582406,0.2002730615477563,0.1559502718951986
3,2013-08-29 to 2014-02-25,5614,606,0.19966996699669967,0.3095527638388938,0.737190082644628,0.167532193241379,0.1644006132756579,0.0844349235308591
4,2014-02-25 to 2014-08-24,6312,717,0.14365411436541142,0.3961668173195694,0.8210129344423011,0.1093556824700207,0.1065172106859709,0.0264347929409375
