nominal_coverage,covered_count,total_delayed_count,empirical_coverage,coverage_error,exact_ci_95_low,exact_ci_95_high,mean_interval_width,median_interval_width,min_interval_width,max_interval_width,conformal_adjustment_Q,calibration_delayed_count
0.8,43,61,0.7049180327868853,-0.09508196721311479,0.574304967651929,0.814833807668532,41.03868405141988,22.31878717054881,12.687507193275238,142.8657743817282,2.446660860417543,103
0.9,56,61,0.9180327868852459,0.0180327868852459,0.8189880888902016,0.972848639604444,46.27482207027846,29.320860674915977,17.565708940341658,139.3732262666136,3.3215513653684754,103
0.95,61,61,1.0,0.050000000000000044,0.9413187760677074,1.0,61.73825280246146,45.06197193566248,28.972105176639808,160.51051231853037,5.011753099593761,103
