model,evidence_role,calibration,frozen_threshold,pr_auc,roc_auc,brier_score,ece_10bins,precision,recall,f1_score,balanced_accuracy,positive_prevalence,pred_prob_mean,pred_prob_median,pred_positive_rate
CatBoost,Deployment-Aligned Primary Model,Platt / Sigmoid,0.1,0.27087135475802554,0.7476925196308031,0.05265424015801349,0.05678361162040709,0.21739130434782608,0.7377049180327869,0.3358208955223881,0.7837684254029481,0.060217176702862786,0.105918626458482,0.06580182044282751,0.20434353405725567
Random Forest,Development PR-AUC Sensitivity Comparator,Platt / Sigmoid,0.105,0.31954208352939173,0.7897782063645131,0.04926478923147251,0.03140183450352979,0.21171171171171171,0.7704918032786885,0.3321554770318021,0.7933341369334619,0.060217176702862786,0.09161901120639258,0.05136311544933019,0.21915103652517276
