experiment_id,git_commit,data_sha256,evidence_label,fold_id,strategy,k_fraction,k_shipments,delayed_captured,total_delayed,recall_at_k,high_severity_captured,high_severity_recall_at_k,delay_days_captured,total_delay_days,delay_days_capture_ratio
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,1,Strategy_2_Risk_x_Severity,0.01,7,4,99,0.04040404040404041,0,0.0,23.0,2427.0,0.009476720230737536
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,1,Strategy_2_Risk_x_Severity,0.05,31,7,99,0.0707070707070707,0,0.0,47.0,2427.0,0.019365471775854966
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,1,Strategy_2_Risk_x_Severity,0.1,62,11,99,0.1111111111111111,3,0.1111111111111111,248.0,2427.0,0.10218376596621344
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,1,Strategy_2_Risk_x_Severity,0.2,124,32,99,0.32323232323232326,14,0.5185185185185185,1199.0,2427.0,0.49402554594149156
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,1,Strategy_3_Uncertainty_Aware,0.01,7,3,99,0.030303030303030304,0,0.0,16.0,2427.0,0.006592501030078286
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,1,Strategy_3_Uncertainty_Aware,0.05,31,11,99,0.1111111111111111,4,0.14814814814814814,258.0,2427.0,0.10630407911001236
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,1,Strategy_3_Uncertainty_Aware,0.1,62,18,99,0.18181818181818182,8,0.2962962962962963,445.0,2427.0,0.18335393489905233
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,1,Strategy_3_Uncertainty_Aware,0.2,124,38,99,0.3838383838383838,15,0.5555555555555556,1012.0,2427.0,0.41697569015245156
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_1_Risk_Only,0.01,8,2,195,0.010256410256410256,2,0.02631578947368421,47.0,5446.0,0.008630187293426368
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_1_Risk_Only,0.05,37,13,195,0.06666666666666667,3,0.039473684210526314,178.0,5446.0,0.03268453911127433
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_1_Risk_Only,0.1,74,26,195,0.13333333333333333,9,0.11842105263157894,542.0,5446.0,0.0995225853837679
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_1_Risk_Only,0.2,148,59,195,0.30256410256410254,32,0.42105263157894735,3275.0,5446.0,0.6013587954461991
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_2_Risk_x_Severity,0.01,8,7,195,0.035897435897435895,4,0.05263157894736842,165.0,5446.0,0.030297466030113844
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_2_Risk_x_Severity,0.05,37,18,195,0.09230769230769231,10,0.13157894736842105,365.0,5446.0,0.0670216672787367
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_2_Risk_x_Severity,0.1,74,33,195,0.16923076923076924,18,0.23684210526315788,844.0,5446.0,0.15497612926918838
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_2_Risk_x_Severity,0.2,148,66,195,0.3384615384615385,31,0.40789473684210525,2345.0,5446.0,0.4305912596401028
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_3_Uncertainty_Aware,0.01,8,2,195,0.010256410256410256,0,0.0,13.0,5446.0,0.0023870730811604846
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_3_Uncertainty_Aware,0.05,37,10,195,0.05128205128205128,2,0.02631578947368421,143.0,5446.0,0.026257803892765334
EXP_05_DECISION_UTILITY,6f71396ac38466c9d18e2706bea8688d9c2ea8ac,918b992dd3e8d4b64d2a727b2c4ea607603d0c58f19484e73f7b78528c6a8673,SIMULATED SCENARIO,2,Strategy_3_Uncertainty_Aware,0.1,74,23,195,0.11794871794871795,8,0.10526315789473684,369.0,5446.0,0.06775615130370914
